-4061492.0918687587	  inf
-3607185.7165261041	1.11857e-01
-3548044.1514801816	1.63955e-02
-3502212.9118319568	1.29173e-02
-3472306.6458424530	8.53925e-03
-3454401.2593437564	5.15663e-03
-3443580.7118824408	3.13239e-03
-3436515.3089824696	2.05176e-03
-3431401.6926713875	1.48802e-03
-3427371.4505688921	1.17452e-03
-3424279.8438517302	9.02034e-04
-3421669.7311646319	7.62237e-04
-3419418.9947986752	6.57789e-04
-3417592.1701544966	5.34250e-04
-3416049.6852205475	4.51337e-04
-3414630.3583051758	4.15488e-04
-3413389.4358636113	3.63413e-04
-3412265.9015398948	3.29155e-04
-3411219.9131536442	3.06538e-04
-3410272.6658641337	2.77686e-04
-3409427.2237463314	2.47910e-04
-3408616.2241981667	2.37870e-04
-3407874.7083153981	2.17542e-04
-3407170.4856658401	2.06646e-04
-3406539.9350856273	1.85066e-04
-3405952.3337394400	1.72492e-04
-3405465.5223139697	1.42930e-04
-3405045.6307299379	1.23299e-04
-3404604.8752557491	1.29442e-04
-3404135.1967734206	1.37954e-04
-3403752.5890120724	1.12395e-04
-3403362.9716500971	1.14467e-04
-3402965.5475468826	1.16774e-04
-3402641.3083692528	9.52814e-05
